date,weight_market,weight_sector_Unknown,weight_sector_Healthcare,weight_sector_Financial Services,weight_sector_Technology,weight_sector_Consumer Cyclical,weight_sector_Industrials,weight_sector_Communication Services,weight_sector_Real Estate,weight_sector_Consumer Defensive,weight_sector_Energy,weight_sector_Basic Materials
2022-07-11,0.6195189,0.027583199,0.01604875,0.003327407,0.0041037807,0.09765452,0.065273136,0.03978599,0.009378475,0.044130567,0.0021644305,0.07103093
2022-07-12,0.619532,0.027581422,0.016041718,0.0033263937,0.004103192,0.09764801,0.06526342,0.03978832,0.009378552,0.044128127,0.0021635268,0.07104531
2022-07-13,0.6195571,0.027577588,0.016040284,0.003325805,0.00410241,0.09764698,0.0652599,0.03978513,0.009376706,0.044124957,0.0021630079,0.07104022
2022-07-14,0.6195381,0.027579414,0.016042624,0.0033264076,0.0041030706,0.09765022,0.06526455,0.03978644,0.009377581,0.044126906,0.0021634926,0.071041234
2022-07-15,0.6195815,0.027575731,0.016036699,0.0033249916,0.0041016834,0.097642474,0.06525378,0.039782304,0.00937573,0.044121914,0.0021623487,0.07104092
2022-07-18,0.6195519,0.027579403,0.016047504,0.00332678,0.0041026925,0.09765154,0.06526888,0.039783712,0.009376112,0.0441284,0.0021639152,0.07101907
2022-07-19,0.6194732,0.027587803,0.016054777,0.0033288582,0.00410511,0.09766064,0.065283,0.0397927,0.009380538,0.04413807,0.0021656347,0.07102959
2022-07-20,0.61951643,0.027583454,0.016051307,0.003327711,0.0041037216,0.097655594,0.06527553,0.039786696,0.009378294,0.04413244,0.0021647098,0.071024194
2022-07-21,0.6195599,0.027577344,0.016049307,0.0033267562,0.0041022794,0.097653136,0.06526986,0.039780162,0.0093755275,0.04412601,0.002163874,0.07101589
2022-07-22,0.6195732,0.027576057,0.016042478,0.0033257394,0.0041018906,0.097647645,0.0652611,0.039780267,0.009375603,0.04412259,0.002162998,0.07103043
2022-07-25,0.6196083,0.027575294,0.016037012,0.0033246086,0.0041008084,0.09763843,0.06525059,0.039778445,0.009374682,0.044121284,0.0021620842,0.07102853
2022-07-26,0.61958086,0.027579634,0.016039541,0.0033254253,0.0041018045,0.0976409,0.065258004,0.039781265,0.009376123,0.044124406,0.0021628723,0.071029164
2022-07-27,0.6195289,0.027585672,0.016042888,0.0033266912,0.004103455,0.097645484,0.065266065,0.039788295,0.009379203,0.04413105,0.0021639185,0.07103848
2022-07-28,0.6195412,0.02758186,0.016048232,0.0033270272,0.0041029346,0.0976505,0.06527015,0.0397844,0.009377297,0.044130143,0.0021641492,0.071022026
2022-07-29,0.619381,0.027595948,0.016071972,0.0033322214,0.0041078515,0.09767836,0.06530647,0.039800264,0.009384479,0.0441527,0.0021683343,0.071020335
2022-08-01,0.6197114,0.027568985,0.016037112,0.00332242,0.0040975576,0.09762753,0.065239005,0.039760474,0.009368872,0.044114217,0.0021607538,0.07099164
2022-08-02,0.61962533,0.027577102,0.016047696,0.003325418,0.004100413,0.09764193,0.06525791,0.039769314,0.00937329,0.044125557,0.0021628852,0.070993185
2022-08-03,0.61971134,0.027572362,0.016043004,0.0033232959,0.0040977686,0.097629376,0.065245315,0.039757676,0.009368924,0.044118293,0.0021614686,0.07097106
2022-08-04,0.6198061,0.027557874,0.016024763,0.0033196004,0.0040944023,0.09761385,0.065220326,0.039752685,0.009363841,0.044099484,0.0021584309,0.070988536
2022-08-05,0.61971223,0.027562886,0.016028674,0.0033217527,0.004097257,0.097626716,0.06523275,0.039767135,0.009368491,0.044107944,0.002159849,0.07101421
2022-08-08,0.6195953,0.02757518,0.016037663,0.003324875,0.004101086,0.09764027,0.06525383,0.039781317,0.009374888,0.044121433,0.0021623452,0.071031764
2022-08-09,0.61958444,0.027573382,0.016038826,0.0033251578,0.004101398,0.09764483,0.06525762,0.039782107,0.009374657,0.04411988,0.0021625455,0.071035214
2022-08-10,0.6196369,0.027573152,0.016027402,0.0033230376,0.0041001607,0.097630724,0.06524292,0.03977654,0.009373322,0.04411318,0.0021610195,0.071041614
2022-08-11,0.6196544,0.027566595,0.016031707,0.0033231757,0.00409945,0.097637,0.065243796,0.039773222,0.00937087,0.044111833,0.0021609063,0.07102701
2022-08-12,0.6195992,0.027575657,0.016039023,0.0033250102,0.0041013197,0.09764228,0.065257326,0.039779447,0.009374053,0.044120956,0.0021625815,0.07102314
2022-08-15,0.6196293,0.027571969,0.016040234,0.003324623,0.004100232,0.097641185,0.065255485,0.039775424,0.0093719475,0.044118397,0.0021622865,0.071008995
2022-08-16,0.61962813,0.027569385,0.016041879,0.0033246928,0.004100095,0.097644605,0.06525567,0.03977493,0.009371496,0.044118132,0.002162235,0.071008675
2022-08-17,0.61967874,0.027564544,0.016036564,0.0033231971,0.004098403,0.09763707,0.06524527,0.03976913,0.009369067,0.044111922,0.0021610428,0.07100506
2022-08-18,0.6196269,0.027572043,0.016036619,0.003324217,0.0041001886,0.09763846,0.06525,0.039776742,0.009372929,0.044118043,0.0021618349,0.071022004
2022-08-19,0.61962545,0.027570244,0.016040532,0.0033246246,0.0041003865,0.097644575,0.06525426,0.03977498,0.0093718795,0.044118468,0.0021621247,0.07101247
2022-08-22,0.6195983,0.027576998,0.016040044,0.0033250626,0.0041011944,0.09764083,0.06525502,0.03977911,0.009374844,0.04412349,0.0021625578,0.071022496
2022-08-23,0.61947477,0.027591744,0.016045641,0.0033279269,0.0041051735,0.09765023,0.06527378,0.039794266,0.009382691,0.044136636,0.0021648852,0.07105231
2022-08-24,0.6195021,0.027587425,0.016044866,0.00332742,0.0041042096,0.09764888,0.06527126,0.039790783,0.0093806675,0.044132706,0.0021644565,0.07104513
2022-08-25,0.61963195,0.027575219,0.016035449,0.0033239732,0.004099964,0.09763229,0.065248564,0.03977632,0.009373471,0.04411976,0.0021618493,0.0710212
2022-08-26,0.6197022,0.027567506,0.01602741,0.0033218162,0.004097751,0.09762308,0.06523342,0.039768893,0.00936973,0.044110764,0.0021600912,0.0710174
2022-08-29,0.61965024,0.027572267,0.01602888,0.0033228588,0.004099446,0.09762816,0.06523972,0.039776213,0.009372693,0.0441159,0.0021608816,0.07103275
