date,weight_market,weight_bond
2024-02-29,0.6195894,0.3804106
2024-03-01,0.619589,0.38041094
2024-03-04,0.6195884,0.3804116
2024-03-05,0.6195894,0.38041064
2024-03-06,0.6195907,0.3804093
2024-03-07,0.61959,0.38041005
2024-03-08,0.61958855,0.38041148
2024-03-11,0.6195897,0.3804103
2024-03-12,0.6195901,0.38040987
2024-03-13,0.61958873,0.3804113
2024-03-14,0.6195892,0.38041088
2024-03-15,0.6195901,0.3804099
2024-03-18,0.61959064,0.3804094
2024-03-19,0.6195896,0.38041034
2024-03-20,0.6195889,0.3804111
2024-03-21,0.61958843,0.38041154
2024-03-22,0.6195889,0.3804111
2024-03-25,0.61959016,0.3804098
2024-03-26,0.6195908,0.38040918
2024-03-27,0.6195908,0.38040912
2024-03-28,0.6195896,0.38041034
2024-04-01,0.6195899,0.3804101
2024-04-02,0.6195906,0.3804095
2024-04-03,0.61959106,0.38040894
2024-04-04,0.6195906,0.38040942
2024-04-05,0.61959136,0.38040859
2024-04-08,0.6195898,0.3804102
2024-04-09,0.61958957,0.3804105
2024-04-10,0.6195898,0.38041016
2024-04-11,0.6195912,0.38040888
2024-04-12,0.6195898,0.38041016
2024-04-15,0.6195908,0.38040918
2024-04-16,0.6195918,0.38040832
2024-04-17,0.61959064,0.38040936
2024-04-18,0.6195903,0.38040975
2024-04-19,0.61959016,0.38040987
2024-04-22,0.61959064,0.38040936
2024-04-23,0.6195891,0.38041088
2024-04-24,0.6195876,0.38041237
2024-04-25,0.6195886,0.3804114
2024-04-26,0.61958975,0.38041028
2024-04-29,0.6195886,0.38041133
2024-04-30,0.61958855,0.3804115
2024-05-01,0.61959064,0.38040936
2024-05-02,0.61959046,0.38040954
2024-05-03,0.61958855,0.3804115
2024-05-06,0.61958724,0.38041276
2024-05-07,0.6195872,0.38041276
2024-05-08,0.6195883,0.38041168
2024-05-09,0.6195892,0.38041088
2024-05-10,0.6195888,0.3804112
2024-05-13,0.61958903,0.38041094
2024-05-14,0.61958957,0.3804105
2024-05-15,0.6195894,0.38041064
2024-05-16,0.6195882,0.38041177
2024-05-17,0.6195894,0.3804106
2024-05-20,0.6195899,0.3804101
2024-05-21,0.61959,0.38041005
2024-05-22,0.6195898,0.38041016
2024-05-23,0.6195904,0.38040957
2024-05-24,0.6195911,0.38040894
2024-05-28,0.61958987,0.38041013
2024-05-29,0.61958975,0.3804102
2024-05-30,0.61959064,0.3804094
2024-05-31,0.61959124,0.38040876
2024-06-03,0.61958975,0.3804102
2024-06-04,0.61958975,0.3804103
2024-06-05,0.6195903,0.38040975
2024-06-06,0.61958927,0.38041076
2024-06-07,0.6195899,0.38041013
2024-06-10,0.61959076,0.38040924
2024-06-11,0.61959034,0.38040966
2024-06-12,0.6195901,0.38040987
2024-06-13,0.61958945,0.38041055
2024-06-14,0.61958975,0.3804102
2024-06-17,0.6195905,0.3804095
2024-06-18,0.61959,0.38041005
2024-06-20,0.61959,0.38041005
2024-06-21,0.6195908,0.3804092
2024-06-24,0.619591,0.38040903
2024-06-25,0.6195911,0.3804089
2024-06-26,0.6195906,0.38040945
2024-06-27,0.61959046,0.3804095
2024-06-28,0.61959034,0.38040957
2024-07-01,0.6195911,0.38040888
2024-07-02,0.61959094,0.38040903
2024-07-03,0.6195901,0.38040996
2024-07-05,0.61959,0.38041002
2024-07-08,0.61959,0.38041002
2024-07-09,0.61959076,0.3804093
2024-07-10,0.6195911,0.38040894
2024-07-11,0.6195901,0.3804099
2024-07-12,0.6195912,0.38040888
2024-07-15,0.6195907,0.3804093
2024-07-16,0.61959046,0.38040954
2024-07-17,0.61959,0.38041
2024-07-18,0.61959153,0.38040844
2024-07-19,0.619592,0.38040793
2024-07-22,0.61959153,0.38040838
2024-07-23,0.61958945,0.38041055
2024-07-24,0.61958957,0.3804105
2024-07-25,0.61959165,0.38040835
2024-07-26,0.6195912,0.38040888
2024-07-29,0.61958843,0.3804115
2024-07-30,0.6195884,0.38041165
2024-07-31,0.6195894,0.3804106
2024-08-01,0.6195874,0.38041252
2024-08-02,0.61958927,0.38041073
2024-08-05,0.6195911,0.38040894
2024-08-06,0.61959255,0.38040748
2024-08-07,0.6195891,0.38041088
2024-08-08,0.6195882,0.38041177
2024-08-09,0.6195852,0.38041472
2024-08-12,0.61958545,0.38041458
2024-08-13,0.6195869,0.38041312
